attendance_percentage,avg_marks,assignments_submitted,behavior_score,at_risk
92.63791452993541,64.87503772283091,6,3,0
71.85299851677595,90.1322882126676,7,10,0
94.53119645161817,52.27862929699177,0,4,1
36.194475143634364,30.72121827605126,3,5,1
43.718800369340165,22.302614105067118,5,2,1
33.16591022373766,80.41098045388952,8,8,1
52.7731231534285,69.62476410827718,1,2,1
57.20741027826374,76.32638144793788,0,9,1
48.99443222417271,37.03713292071286,9,2,1
88.01162564063506,30.90971804694158,1,9,1
54.97273286855125,21.163573253430556,6,7,1
49.66541567811665,48.04700470452776,2,8,1
67.9887258210774,67.19341494837064,9,2,0
39.86469574823339,51.379523607978584,1,7,1
86.15378865278278,54.99799376189833,10,6,0
35.21854505758396,92.33269555949987,6,4,1
99.08208556203621,47.86043736186403,1,7,1
84.05713385076602,61.119159132784866,2,4,1
43.91009770739207,82.69224101929144,10,2,1
30.386548198652168,51.72342258570161,6,10,1
87.0822999918384,69.76693601822987,3,7,1
79.48001406933321,88.98909669973962,0,8,1
81.03050176286911,95.96164989261138,4,2,0
83.9889242680162,31.765878474323035,8,5,1
35.183125621386324,94.12701001291956,7,1,1
55.09260099809909,59.369303446363055,8,7,1
38.110834166759076,40.659551063916666,9,8,1
90.41723981129155,56.7308604990609,8,6,0
73.63086887792906,98.40260602283817,6,5,0
53.16286173968544,59.40944751942957,3,6,1
34.44908452002166,46.300128823000655,4,2,1
51.76876252009635,70.67206834533806,0,1,1
52.76283254187229,39.21164950225545,0,7,1
81.07243248366449,26.06906624869311,2,7,1
74.62902299486493,30.310377752851938,7,10,1
92.10489198034286,30.243667116621793,1,10,1
63.055044761336454,32.15221548098355,3,2,1
38.37159721568112,31.10617381195281,1,2,1
79.92713510560965,71.26997958425717,4,1,0
83.25495340318282,34.55040675193159,8,10,1
69.28940382986474,47.65338266590906,0,8,1
83.96770259681927,91.74307279248094,4,8,0
64.56569174550735,57.916931221029785,8,1,0
66.59129805673959,73.40461908168217,0,8,1
59.927871285098476,33.78558969613039,8,9,1
31.77933887208666,35.38312150469366,7,4,1
37.552399889531316,23.26948930131831,3,1,1
32.200042998071396,33.514805045773166,10,1,1
74.54872878846463,42.287227122556686,9,3,0
52.004918675342864,34.160838742139745,4,5,1
65.5999483815292,27.096202700564447,4,5,1
93.5296531748265,29.650869688048065,10,9,1
47.450456040421244,56.86230144261806,5,10,1
58.72680461249408,36.5066974724634,6,2,1
82.88857969801342,49.14158888384604,7,2,0
46.015871584413574,60.27338166838855,7,6,1
35.38859368801551,75.23158629034923,10,9,1
50.28260170396376,23.144971187287915,1,1,1
41.285490107780305,83.95283191272341,8,9,1
95.07883566398012,70.23203115927262,6,9,0
86.56842656950919,26.540722555909753,3,9,1
74.33826295572965,89.88628992854218,3,5,1
91.00224131314025,93.66979204254505,10,9,0
86.257045382938,24.8862367883891,7,4,1
43.05990412202251,42.1502118517763,3,2,1
92.47912989429844,84.4961023834449,5,6,0
67.75395693409556,79.86077523069267,4,4,0
86.52081086148438,34.76168154851018,2,6,1
92.72639099464453,36.747945866936824,9,3,1
52.26024324803047,49.63776822331056,10,6,1
37.70363471693737,58.761838815281706,1,2,1
45.95546137793592,69.46038172242368,8,2,1
59.89754520383794,49.51309116558179,9,9,1
87.26103361457452,57.002777290651835,8,7,0
90.25114082794404,79.79767505070052,0,3,1
30.48664913718335,22.934656231247832,9,1,1
65.7523111804296,40.19495554752166,2,8,1
59.21877022041453,77.0679668707642,7,6,1
45.54754673295112,91.61654701497595,5,7,1
38.3905757133578,60.93419536925329,4,9,1
53.63306199825396,62.569078821225254,4,5,1
96.00367927387634,28.573760907182084,5,1,1
52.62420524145287,55.79298934587637,6,10,1
66.31534352203562,62.60938131640185,0,7,1
79.21132712266245,39.39764029077837,8,5,1
55.454072166550574,41.539458475950475,2,3,1
98.02474579046725,50.18273304836981,3,9,1
97.37131064594779,21.60569582221811,9,1,1
47.62476070777549,45.76633324665426,0,1,1
64.80739541246697,36.91584055972357,10,1,1
51.06148168717388,46.19978817423317,9,3,1
49.93883460642273,29.580970545540097,2,6,1
32.582086314817296,91.2421824591916,1,10,1
72.66950337859278,67.48739628432389,1,3,1
65.1875316260203,74.32818553155917,0,8,1
33.60351258749925,83.13369908858706,7,10,1
49.505252496562804,59.87537591432458,2,2,1
93.57861201766576,26.953623046993897,2,9,1
46.769332346688074,62.968523345483824,5,3,1
40.14264104638562,66.94728944167034,7,5,1
64.26169321942942,79.6351579347464,8,10,0
98.99553178774205,54.53276369837435,8,8,0
46.94386900580503,30.2064242236451,3,2,1
77.0494883184115,42.702072463897956,4,6,0
83.31337307301024,49.046583711890804,1,5,1
46.63462807946797,71.67337930652809,10,10,1
80.97514440283017,65.66226437351295,8,9,0
55.74481929034772,48.4877380718277,7,5,1
74.26140814155056,98.92121990343837,2,2,1
74.34707975326262,68.46198554855097,10,5,0
67.50422788523309,38.97814333887956,8,4,1
36.32028390380858,28.1425978096323,2,7,1
88.47117469124666,32.22873113474656,8,6,1
52.45460454802151,39.67661827076065,1,2,1
43.0562957279898,32.85450986076445,9,5,1
32.85425990883348,34.925361924104465,8,7,1
71.36250602317693,42.807613495507766,7,7,0
77.42950532895978,33.86988762358038,8,5,1
31.16114802494993,91.74123397011401,4,9,1
65.84651408094967,26.418699652931377,10,4,1
45.85470426385566,61.960911165620374,10,3,1
75.1620953286615,52.83174615917292,1,4,1
42.2056500303494,98.59028935268852,7,5,1
78.36564166717261,28.963112173444188,5,6,1
57.07147424103762,51.82844792365933,7,3,1
95.57109921157142,97.55763466202951,10,2,0
39.62646609021952,89.24057007151842,4,4,1
53.8746445735181,85.3657656759424,9,5,1
37.943146486841236,40.632226163595185,1,4,1
94.7285532794994,33.67100699120527,5,3,1
91.41375473666866,73.49145759395448,4,8,0
48.05591394006089,94.35007913020686,4,10,1
76.19888322239254,64.54103144111438,0,4,1
87.20555401408511,65.72901515759199,1,2,1
68.86405681196237,42.39832749282273,7,2,0
67.07554048492045,81.55943465535495,2,1,1
46.929660363031616,34.96349988460187,9,4,1
36.51719374641294,45.89433891233949,2,10,1
92.80510305673288,54.034915089313344,7,9,0
93.02926400143313,60.6088302947564,7,7,0
74.31710200912875,39.392778593206415,1,10,1
53.73208537340905,29.186945979136283,7,7,1
54.44467022288626,68.8496033953306,10,7,1
80.81689752091675,43.09044425922046,0,8,1
92.79771819668039,66.49905771380898,5,1,0
92.0960496985582,32.34901722193619,7,10,1
84.59128821003367,58.4912081483854,2,10,1
74.94221523080014,62.60715460412687,7,8,0
35.889797549653416,24.145882945794153,0,4,1
41.31400998662296,46.92834225551365,10,4,1
92.89879319689555,30.75317415511794,10,4,1
72.4500341761713,25.06999763782142,8,6,1
30.643793613164075,99.19681859119562,10,7,1
37.103008000622246,45.788307597977834,8,6,1
76.4451238375639,84.7899556683708,4,1,0
30.35431086923531,40.37125238110111,9,8,1
41.256563599224904,74.52021777791434,3,10,1
68.41136525566102,80.81822879117493,10,7,0
78.43266383848854,67.65109924862755,5,6,0
75.63728816518204,57.72609508401267,6,6,0
45.698851662239186,52.947273131781486,4,5,1
79.8525454943275,47.90946132343962,10,6,0
46.607436124776,94.36233153982607,9,9,1
52.77797887114874,86.44955262301833,8,10,1
82.25439835826168,97.20215285332101,2,9,1
75.47430293330503,29.943777878843576,6,10,1
89.44563873459245,78.46939801629154,9,8,0
76.03290246102404,95.06723654568303,9,10,0
69.78160223348301,34.498645293252814,10,9,1
36.55723374796647,25.3197013893422,4,10,1
55.74010621416035,79.28965194320472,6,8,1
48.564165737720785,65.95784905439295,1,8,1
47.07927503653585,87.34630214066176,3,1,1
98.11073883267119,31.18179013010316,1,10,1
57.51684072667323,83.62138494879122,6,5,1
92.44325886239793,36.13018560381956,1,4,1
74.1797038198084,33.09247542925636,10,2,1
85.6367912479154,33.14126383447943,0,8,1
65.18459651736345,85.16597761851057,8,3,0
70.38327192384514,73.215777655696,0,4,1
64.47623856732048,61.845233981529546,7,7,0
43.66700914586312,48.7064387298802,1,10,1
80.57164806830536,90.17604326504866,7,9,0
49.654065370859904,51.395608593810834,2,2,1
31.702117650201767,85.32795515772617,5,3,1
75.18306071350175,55.13079268561747,2,4,1
42.39774755849343,50.155554353992606,6,10,1
95.832100904704,57.01438285356851,9,1,0
96.77500039018112,44.110229933131365,8,7,0
94.0405073154314,79.80875041410009,1,2,1
55.9111090178811,60.217631207398334,4,5,1
31.08196315702072,38.57701561174538,5,1,1
94.98229938114078,91.96596586196547,3,3,1
59.972890382212,50.711297709856915,3,2,1
97.66583733305687,63.48422888911909,3,1,1
97.45339839624769,92.51776887716376,1,7,1
89.71066188271521,69.93903967311937,3,5,1
50.611422444870996,29.351843256669127,10,1,1
56.956841002134766,95.18656988907802,0,6,1
89.57956700617999,70.21664424571343,5,5,0
52.18454036093944,46.79244917256689,0,3,1
41.864492268026474,31.141765813070982,9,7,1
68.97608837208452,83.52201514162368,5,10,0
95.53083419125467,69.60582047428107,0,9,1
78.7220857672481,62.67688735810572,5,9,0
69.90428190625555,91.51140664407662,9,9,0
36.8023545639538,83.08777689796246,7,2,1
73.05050586894188,32.1339903786201,10,3,1
99.30376950729843,44.93776542364386,1,7,1
39.80588106655668,39.87913118515726,1,5,1
66.28307566546158,79.51570340581415,3,2,1
91.41611503495687,22.682594778862352,10,3,1
81.85380324279431,65.59117478970532,2,10,1
78.79110186966875,80.99669485925524,3,6,1
79.17388587909764,90.14125094093995,6,7,0
55.16438058538286,47.366539897272595,10,9,1
50.55142909851453,85.70058437376103,0,1,1
86.65528088349595,28.850538956416578,5,7,1
86.70793762754266,87.71618333876145,2,8,1
90.69506230060726,30.199092986558593,10,3,1
93.92683867895299,51.78298324482938,9,4,0
65.79396792026564,83.78362926236429,6,10,0
65.10614062810397,31.993394187901902,9,6,1
85.88066252767426,38.34011161861132,1,10,1
75.49747515444356,77.7802054714453,1,7,1
79.13768140803924,77.60292292368595,3,4,1
85.70548686052707,71.29181063082379,0,8,1
92.30037392722964,75.515875557368,2,5,1
53.65966097960751,63.417955467807694,8,1,1
56.29080668479608,40.14392471255622,6,4,1
36.57873578886083,47.65567948031355,6,3,1
70.47960986973217,34.527817344114055,10,9,1
32.515959165771946,92.67604490669027,3,8,1
62.59186126927221,66.67134358128963,1,1,1
67.98512442953037,52.06811334109119,3,6,1
50.05788764897991,56.96046429153061,5,9,1
71.35832823983075,95.78266716894522,10,7,0
32.13501749573346,32.26811224928642,10,4,1
32.61437321244501,66.89838656134378,2,1,1
87.58203924617608,60.47109431075728,0,2,1
55.21334489878841,68.91633883477184,7,5,1
38.894235885631936,21.44881470566724,4,5,1
66.5570282038363,89.76991271553212,4,8,0
83.89954871690276,94.56946259868899,10,6,0
45.10747192477902,65.21065468713672,3,8,1
73.60233330733001,75.73206591015138,5,2,0
35.97432254956376,93.79995049418366,2,3,1
33.617720481802536,76.57909074507188,8,6,1
67.19482420977036,32.20312343314091,4,10,1
67.84445851270746,66.10306881334506,2,3,1
74.62009310487446,68.53720371062848,10,6,0
80.82639336058631,53.93045370419088,0,6,1
98.30964556237743,78.91553884997782,9,2,0
66.14102438108367,94.74936118152118,5,7,0
52.606953105887214,94.04548103254211,1,2,1
85.66303363380925,56.06714971233057,2,6,1
48.95825758834519,29.05904366726042,0,1,1
60.72799944939453,98.78729591698676,8,3,0
35.49194669395862,87.11184691567473,7,2,1
31.774552039082025,29.97301449626135,1,7,1
97.38538902745475,93.66735060938979,10,4,0
88.51860843585442,89.59170896497027,7,8,0
78.71819442655885,61.50704457008577,8,6,0
58.62670610899889,67.30203485959434,0,10,1
42.130602404959205,51.920216309610424,4,4,1
40.95059298697602,24.380931105762507,7,5,1
47.51700287152167,46.815779331672076,10,9,1
68.44586652942843,84.22827588784091,1,7,1
80.02171458900436,20.37056184036823,3,10,1
76.21381637024119,46.679933735291534,6,9,0
49.595372786216004,51.85349548727547,2,7,1
96.84056964642359,62.99164823503383,4,1,0
81.65278416870379,93.58844931302085,7,8,0
68.80478367579805,47.707679549276904,9,4,0
72.82045223640466,47.75625615169822,2,3,1
59.372004369945294,79.00009984877987,3,7,1
47.34116926508102,56.17743527118457,8,3,1
54.91808750558831,37.96838583519856,6,8,1
83.04922773250584,56.195161290615474,0,6,1
31.00754420408291,31.26856163038399,3,5,1
38.12508483548414,34.110958920497865,3,4,1
33.22018494152269,59.869421819158376,8,8,1
32.85101616232791,53.514035960363834,5,8,1
89.8822408807705,93.187672085448,8,1,0
79.25605015660166,48.99151192933065,5,9,0
63.19216803611276,66.44706802224349,5,5,0
36.848391245570106,70.58114303356243,4,4,1
64.41311125817826,21.04755652706669,4,6,1
63.143023954639595,73.08298976133685,1,6,1
42.124130893701064,34.24287734958011,7,2,1
60.369615446658116,96.88562539755641,7,8,0
57.895331407816144,31.893018220249036,10,7,1
73.10950686365516,53.1699298981619,0,1,1
74.45655556073507,26.82797344629151,7,5,1
33.17128068404312,99.74994014767579,4,6,1
56.22288302385299,60.175600826499405,1,4,1
73.81019409999655,67.6308013856035,1,2,1
65.21953810060614,25.3661181910742,5,4,1
89.95428888318256,79.99683763193423,10,1,0
76.10855421332616,36.792447447646865,8,7,1
41.405409895700075,91.84434315525709,0,2,1
34.93981231803009,36.41117123856057,5,2,1
74.96934947444208,35.255017653093326,8,9,1
31.855791737913528,22.923973427847592,7,5,1
71.00429068914244,57.765355608799936,10,2,0
95.81611689974703,65.18729066100931,5,9,0
70.28319245131152,25.25669115426819,2,9,1
57.17189483445654,82.04220933560084,7,1,1
75.03017529096472,56.26310677984221,8,3,0
62.07770233440616,61.951221546206405,0,4,1
68.19317525211545,55.26101975505825,8,7,0
95.90253661435676,52.06104487002608,5,10,0
57.027184646054195,64.77122650465743,5,4,1
97.283339467674,32.419219674457,3,2,1
93.37454493692447,34.55425043962169,0,7,1
43.70537943525075,88.94284968108138,9,6,1
34.85529106126158,95.68923697069062,7,3,1
37.05446009641987,49.864745302380236,1,6,1
31.275527795608483,41.6595738514843,0,6,1
36.61100725291499,71.51996345912126,1,5,1
77.81047413914499,52.698733687847714,0,4,1
34.98320539221603,22.03090845282759,0,10,1
52.32829412056329,32.49220778929523,8,1,1
89.14127176786181,77.2777783077918,0,10,1
31.62903550150781,72.71391535281211,3,6,1
87.0127937812255,22.16767940027868,9,2,1
49.729834234137996,37.75777295463595,5,3,1
38.27153793351594,38.48598372704571,6,8,1
78.77160157549054,73.75141948789827,1,10,1
74.02599927459188,21.57684302034913,5,6,1
91.4230409468937,28.32868655876591,6,3,1
81.454973066272,83.99328682985515,9,7,0
86.24366512693939,34.28357296434669,9,4,1
49.742420079991454,72.21968862814998,1,9,1
42.4207680645806,39.05462248373812,1,5,1
82.54303261486008,27.955311420747613,9,3,1
86.47843174870849,39.453775279956325,6,2,1
99.33535994004713,77.78135454845273,0,2,1
58.88323738379985,88.45571744850287,7,3,1
56.04126600549482,86.41758916535933,10,2,1
84.34890725193978,51.77468236947639,2,4,1
53.85624781771125,73.44681092565169,10,2,1
95.15301279224953,36.39874363326568,5,10,1
90.08889262901083,43.45181842088106,8,9,0
60.02958191625129,91.70686548168958,5,2,0
82.56097474540482,21.04015388085888,8,9,1
82.81800118592776,26.840682468357446,6,6,1
37.218670818515285,36.630900411682184,8,1,1
93.17870346756968,22.122576309905575,1,4,1
65.36766607135,34.51483480718379,7,1,1
87.85202262754191,66.64332487757537,7,6,0
52.40347207214282,53.713964047399834,1,4,1
92.68662599473403,91.41373688615799,3,3,1
57.24411751139142,85.39548493907527,10,3,1
30.758635603620885,47.34538813583008,6,9,1
93.37673834934846,40.7538746745034,10,6,0
36.390067375029346,50.375392653381354,3,9,1
52.351954631329036,67.22359540118461,3,5,1
96.50433769355635,41.4450912658301,5,2,0
96.54250028562893,69.93191262793073,9,8,0
70.14065216863003,52.752932175299236,5,5,0
74.22860485188595,64.16377446815842,9,2,0
61.39118653848239,54.890122330825335,2,4,1
50.52475401886451,43.55726076335341,8,9,1
53.006518175894115,95.87626455697253,9,4,1
77.0762919253927,81.08846353278086,10,4,0
82.66621706063759,31.209054061316202,1,2,1
85.4105330608094,89.47743807183302,5,6,0
85.27326999561878,58.99449585996109,6,2,0
36.38442721340833,91.56417815152732,8,7,1
64.6094213291807,83.98842047578522,2,3,1
34.0291132011651,54.017080357538674,9,3,1
68.46702176266149,21.797544665609394,2,5,1
60.907135096136386,41.494188750795686,6,3,0
92.13929279308098,63.330737172869355,3,2,1
54.5640508786455,70.67825758609177,7,10,1
38.19469114993241,40.631014834656185,6,9,1
40.009417743698506,31.14848592582593,4,2,1
83.30574422022306,86.79441894394392,6,2,0
73.27526443213827,98.75217445628417,2,8,1
37.07858732859532,62.055214584214866,1,9,1
35.88747642804982,33.73434286786428,5,7,1
79.0678392021384,41.784586121549516,1,3,1
35.09341044549355,21.471254123797337,2,9,1
87.53020415032493,93.14390452483993,5,3,0
79.43695590095473,29.42008663121129,4,5,1
35.69441464493298,66.12131804114028,7,9,1
35.938639985963434,41.92441765497648,8,3,1
99.06477049508229,64.33424020126347,10,7,0
56.19895570292842,72.11363106814915,2,1,1
55.944950294682364,86.37934429657614,9,4,1
86.89596970802518,36.513701740848255,2,4,1
96.30740041687011,20.879666292678436,2,7,1
99.02007446760096,30.950850405504582,5,8,1
82.73647296812592,92.0014913478484,0,1,1
56.338170987164105,89.91120620500122,6,5,1
35.845050168906816,67.79304817362467,0,7,1
84.40028411492057,68.04134883469227,4,4,0
69.08829748150634,73.20293396370045,9,4,0
59.69554064728834,34.02970228987597,7,4,1
93.44480695663151,93.15295567399679,3,6,1
37.7838237614306,53.50164199136585,4,7,1
64.48375730036014,50.65108225995979,3,2,1
30.794755133719335,61.513416422627,3,5,1
62.80624493958884,23.757277342004404,7,4,1
33.94122929772861,33.30266950048635,1,3,1
38.31725413876504,79.04268931410964,0,7,1
38.22683727439734,26.623893434010117,2,6,1
75.44472114812444,68.25216875731105,8,7,0
82.22314154857963,39.627928774505676,3,5,1
70.83581355680117,51.143649123358124,9,6,0
97.35207839321794,43.09549894165599,4,5,0
56.24094056665928,48.45381731719593,1,7,1
49.99984603973025,77.52367241473964,3,2,1
90.80193897326222,43.769737249854,1,5,1
45.65170869636168,65.31237122375177,1,6,1
97.4255777608428,58.08403217592797,3,6,1
30.850813228287144,73.09369322901185,5,5,1
97.89151786953474,94.94637914598064,6,10,0
33.02119383654033,78.60576777682002,9,7,1
92.38001795886498,37.19523028726054,2,10,1
66.93907763604099,22.494650804902776,2,8,1
99.50753572835103,40.98112354398601,9,7,0
35.16575953147792,67.60623445602039,5,5,1
68.76979990809245,24.114065078740026,2,1,1
97.85117749333693,59.70929977609891,1,5,1
66.61684909191041,67.74742791335115,7,10,0
74.05790466946837,46.73951126535687,4,2,0
78.7024082289232,81.67297629966575,0,5,1
61.817874533744124,28.527860250701742,2,5,1
73.92906560588443,26.0110225388647,9,2,1
70.90200183461701,78.25510049628826,7,5,0
93.08106073436923,59.63930529649588,3,4,1
33.18124662390205,75.07219171421889,6,1,1
49.66742327145612,54.7861870882997,9,3,1
96.52880388535911,39.712162659128545,1,1,1
92.31846487236413,85.52818541393597,6,5,0
61.895972694999905,83.95327031751833,4,4,0
73.40928184610758,75.57571766835414,4,7,0
49.41668280867928,41.771610978397014,5,5,1
43.16848118066329,67.21845334952697,8,10,1
62.45888834579875,48.87791175520214,5,4,0
54.7346559618237,27.326565866130732,7,2,1
70.85592782956104,93.38508603697943,6,4,0
35.44142458754894,30.945490473516912,8,2,1
98.20763653663165,96.0189883056642,3,8,1
99.0347521135722,55.68046183663646,1,3,1
